阿萨德	12022319620209123X	201801	19254	123
阿萨德	12022319620209123X	201802	14862	132
阿萨德	12022319620209123X	201803	15542	141
阿萨德	12022319620209123X	201804	10902	150
阿萨德	12022319620209123X	201805	17217	159
阿萨德	12022319620209123X	201806	16644	168
阿萨德	12022319620209123X	201807	16205	177
阿萨德	12022319620209123X	201808	1466	186
阿萨德	12022319620209123X	201809	19289	195
阿萨德	12022319620209123X	201810	11129	204
阿萨德	12022319620209123X	201811	15381	213
阿萨德	12022319620209123X	201812	3580	222
卢正雨	120223197901113223	201801	4879	231
卢正雨	120223197901113223	201802	378	240
卢正雨	120223197901113223	201803	1960	249
卢正雨	120223197901113223	201804	2195	258
卢正雨	120223197901113223	201805	7825	267
卢正雨	120223197901113223	201806	3273	276
卢正雨	120223197901113223	201807	15757	285
卢正雨	120223197901113223	201808	18673	294
卢正雨	120223197901113223	201809	7962	303
卢正雨	120223197901113223	201810	14164	312
卢正雨	120223197901113223	201811	2290	321
卢正雨	120223197901113223	201812	11232	330
屈撒啊	120223197312265001	201801	10630	339
屈撒啊	120223197312265001	201802	15414	348
屈撒啊	120223197312265001	201803	3610	357
屈撒啊	120223197312265001	201804	10893	366
屈撒啊	120223197312265001	201805	3539	375
屈撒啊	120223197312265001	201806	15965	384
屈撒啊	120223197312265001	201807	13648	393
屈撒啊	120223197312265001	201808	3740	402
屈撒啊	120223197312265001	201809	18993	411
屈撒啊	120223197312265001	201810	7947	420
屈撒啊	120223197312265001	201811	11420	429
屈撒啊	120223197312265001	201812	12602	438
老爷子	120223197312315011	201801	9350	447
老爷子	120223197312315011	201802	17006	456
老爷子	120223197312315011	201803	18719	465
老爷子	120223197312315011	201804	15192	474
老爷子	120223197312315011	201805	7159	483
老爷子	120223197312315011	201806	19350	492
老爷子	120223197312315011	201807	7560	501
老爷子	120223197312315011	201808	4460	510
老爷子	120223197312315011	201809	5414	519
老爷子	120223197312315011	201810	13758	528
老爷子	120223197312315011	201811	18958	537
老爷子	120223197312315011	201812	6240	546
