侴缑箪	12022319620209136X	201801	19254	766
侴缑箪	12022319620209136X	201802	14862	12477
侴缑箪	12022319620209136X	201803	15542	17442
侴缑箪	12022319620209136X	201804	10902	563
侴缑箪	12022319620209136X	201805	17217	15188
侴缑箪	12022319620209136X	201806	16644	91
侴缑箪	12022319620209136X	201807	16205	12587
侴缑箪	12022319620209136X	201808	1466	19130
侴缑箪	12022319620209136X	201809	19289	12801
侴缑箪	12022319620209136X	201810	11129	19522
侴缑箪	12022319620209136X	201811	15381	3736
侴缑箪	12022319620209136X	201812	3580	17174
白涛欧	120223197901113000	201801	4879	18171
白涛欧	120223197901113000	201802	378	17207
白涛欧	120223197901113000	201803	1960	7751
白涛欧	120223197901113000	201804	2195	16380
白涛欧	120223197901113000	201805	7825	16665
白涛欧	120223197901113000	201806	3273	8353
白涛欧	120223197901113000	201807	15757	9984
白涛欧	120223197901113000	201808	18673	13313
白涛欧	120223197901113000	201809	7962	11747
白涛欧	120223197901113000	201810	14164	15353
白涛欧	120223197901113000	201811	2290	14548
白涛欧	120223197901113000	201812	11232	787
屈突峪	120223197312265000	201801	10630	10617
屈突峪	120223197312265000	201802	15414	18582
屈突峪	120223197312265000	201803	3610	712
屈突峪	120223197312265000	201804	10893	10964
屈突峪	120223197312265000	201805	3539	19197
屈突峪	120223197312265000	201806	15965	16866
屈突峪	120223197312265000	201807	13648	12082
屈突峪	120223197312265000	201808	3740	19916
屈突峪	120223197312265000	201809	18993	19069
屈突峪	120223197312265000	201810	7947	16584
屈突峪	120223197312265000	201811	11420	8940
屈突峪	120223197312265000	201812	12602	8332
全卦	120223197312315000	201801	9350	3248
全卦	120223197312315000	201802	17006	4152
全卦	120223197312315000	201803	18719	8654
全卦	120223197312315000	201804	15192	8381
全卦	120223197312315000	201805	7159	5441
全卦	120223197312315000	201806	19350	15685
全卦	120223197312315000	201807	7560	3100
全卦	120223197312315000	201808	4460	9121
全卦	120223197312315000	201809	5414	8191
全卦	120223197312315000	201810	13758	10411
全卦	120223197312315000	201811	18958	7070
全卦	120223197312315000	201812	6240	13287
